x,y,class
1.23,0.55,1
-0.45,-1.67,0
0.98,1.34,1
-1.12,0.78,0
0.11,-0.03,0
1.45,-0.60,1
-0.78,1.15,0
0.66,1.92,1
-1.55,-0.20,0
0.34,-1.05,0
1.09,0.22,1
-0.89,0.50,0
1.62,-1.33,1
-0.05,1.54,0
0.27,0.88,1
-1.30,-0.41,0
1.51,0.01,1
-0.19,1.07,0
0.72,-1.78,1
-1.70,0.14,0
1.38,1.60,1
-0.63,0.06,0
0.05,-1.25,1
-1.01,1.89,0
1.17,0.44,1
-0.28,-0.99,0
0.90,1.56,1
-1.61,0.37,0
0.53,-0.18,1
-0.49,1.21,0
1.76,0.95,1
-1.34,-1.45,0
0.02,1.71,0
1.20,-0.33,1
-0.75,0.64,0
1.69,1.08,1
-0.10,-1.19,0
0.41,0.80,1
-1.50,0.29,0
1.88,-1.55,1
-0.23,0.17,0
1.11,1.40,1
-0.84,-0.72,0
0.58,1.99,1
-1.28,0.48,0
1.31,-1.65,1
-0.96,0.93,0
0.39,0.00,1
-1.04,-0.83,0
1.42,1.22,1
